,Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Data Value Percentage
0,172653,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2011,12/01/2010,25.3,Bad Quality,5.957146220861785
1,172585,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,12/01/2008,26.93,Bad Quality,6.3409465505062395
2,336637,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Annual Average 2015,01/01/2015,19.09,Good Quality,4.494937603013892
3,336622,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Annual Average 2015,01/01/2015,19.76,Good Quality,4.652696020720509
4,172582,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Annual Average 2009,12/01/2008,22.83,Good Quality,5.375559218271721
5,667327,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Annual Average 2020,01/01/2020,16.19,Good Quality,3.812102660701672
6,172607,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2009,12/01/2008,38.16,Bad Quality,8.985165999529078
7,172675,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2011,12/01/2010,34.96,Bad Quality,8.231692959736284
8,175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/01/2010,30.1,Bad Quality,7.087355780550977
9,176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/01/2012,20.23,Good Quality,4.763362373440075
10,176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/01/2012,23.73,Good Quality,5.587473510713445
11,336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/01/2014,26.0,Bad Quality,6.1219684483164585
12,740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,01/01/2021,18.04,Good Quality,4.247704261831881
13,175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/01/2010,28.44,Bad Quality,6.696491641158465
14,175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,06/01/2009,18.95,Good Quality,4.461973157522957
15,175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,06/01/2009,15.22,Good Quality,3.5837061455144807
16,175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/01/2010,25.7,Bad Quality,6.051330350835884
17,176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/01/2012,16.36,Good Quality,3.8521309159406636
18,741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,01/01/2021,11.41,Good Quality,2.6866023075111842
19,550028,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Annual Average 2017,01/01/2017,21.25,Good Quality,5.003531904874029
20,336723,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Winter 2014-15,12/01/2014,30.4,Bad Quality,7.157993878031551
21,741126,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2021,01/01/2021,21.61,Good Quality,5.088297621850718
22,165858,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2010-11,12/01/2010,36.79,Bad Quality,8.662585354367788
23,166625,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2009,06/01/2009,31.63,Bad Quality,7.447610077701907
24,167746,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Annual Average 2013,12/01/2012,29.27,Bad Quality,6.891923710854721
25,336852,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Winter 2014-15,12/01/2014,26.28,Bad Quality,6.1878973392983285
26,741255,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Annual Average 2021,01/01/2021,20.21,Good Quality,4.758653166941371
27,171599,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2009-10,12/01/2009,28.86,Bad Quality,6.795384977631269
28,549907,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2017,06/01/2017,13.39,Good Quality,3.1528137508829763
29,602850,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2018,06/01/2018,11.97,Good Quality,2.8184600894749234
30,171595,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Winter 2009-10,12/01/2009,23.87,Good Quality,5.62043795620438
31,549895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2017,06/01/2017,14.14,Good Quality,3.3294089945844125
32,643458,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,Greenpoint,Winter 2018-19,12/01/2018,26.69,Bad Quality,6.28443607252178
33,211654,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2014,06/01/2014,13.55,Good Quality,3.1904874028726162
34,643446,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Winter 2018-19,12/01/2018,18.32,Good Quality,4.313633152813751
35,211655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2014,06/01/2014,15.4,Good Quality,3.6260890040028255
36,643449,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Winter 2018-19,12/01/2018,19.11,Good Quality,4.499646809512597
37,211674,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Summer 2014,06/01/2014,16.64,Good Quality,3.9180598069225336
38,643506,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Winter 2018-19,12/01/2018,24.36,Good Quality,5.735813515422651
39,172662,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Annual Average 2011,12/01/2010,25.56,Bad Quality,6.0183659053449485
40,667399,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Annual Average 2020,01/01/2020,18.08,Good Quality,4.257122674829291
41,175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,06/01/2009,23.0,Good Quality,5.415587473510714
42,176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/01/2012,21.54,Good Quality,5.07181539910525
43,740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,01/01/2021,18.52,Good Quality,4.3607252178008
44,175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.39,Good Quality,5.036496350364963
45,336531,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Winter 2014-15,12/01/2014,25.7,Bad Quality,6.051330350835884
46,175347,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2010-11,12/01/2010,26.24,Bad Quality,6.178478926300918
47,175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,06/01/2009,18.59,Good Quality,4.377207440546268
48,165871,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Winter 2010-11,12/01/2010,30.92,Bad Quality,7.280433246997881
49,167759,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Annual Average 2013,12/01/2012,22.32,Good Quality,5.255474452554744
50,549998,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2017,01/01/2017,23.65,Good Quality,5.568636684718625
51,172663,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2011,12/01/2010,28.23,Bad Quality,6.647044972922062
52,211670,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2014,06/01/2014,19.54,Good Quality,4.600894749234754
53,336664,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2015,01/01/2015,23.15,Good Quality,5.4509065222510005
54,643494,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Winter 2018-19,12/01/2018,24.69,Good Quality,5.8135154226512835
55,549903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Winter 2016-17,12/01/2016,26.27,Bad Quality,6.185542736048975
56,602844,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2018,06/01/2018,16.37,Good Quality,3.8544855191900167
57,602829,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2018,06/01/2018,11.69,Good Quality,2.752531198493054
58,549886,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2017,06/01/2017,13.02,Good Quality,3.065693430656934
59,211757,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Annual Average 2014,12/01/2013,18.97,Good Quality,4.466682364021662
60,549889,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2017,06/01/2017,14.37,Good Quality,3.3835648693195193
61,602832,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2018,06/01/2018,13.05,Good Quality,3.0727572404049917
62,175297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2009-10,12/01/2009,26.48,Bad Quality,6.234989404285378
63,175381,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Winter 2011-12,12/01/2011,25.17,Bad Quality,5.926536378620202
64,211390,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Annual Average 2014,12/01/2013,19.8,Good Quality,4.662114433717918
65,336652,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2015,01/01/2015,18.62,Good Quality,4.384271250294326
66,643482,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Winter 2018-19,12/01/2018,20.53,Good Quality,4.83400047092065
67,667381,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2020,01/01/2020,14.81,Good Quality,3.487167412291029
68,172593,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,27.13,Bad Quality,6.388038615493289
69,172661,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Annual Average 2011,12/01/2010,25.75,Bad Quality,6.063103367082647
70,336658,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,21.27,Good Quality,5.008241111372733
71,211668,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2014,06/01/2014,17.0,Good Quality,4.002825523899223
72,336709,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Annual Average 2015,01/01/2015,16.0,Good Quality,3.7673651989639745
73,643539,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Winter 2018-19,12/01/2018,18.62,Good Quality,4.384271250294326
74,667495,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Annual Average 2020,01/01/2020,13.11,Good Quality,3.0868848599011063
75,549782,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Annual Average 2017,01/01/2017,21.19,Good Quality,4.989404285377914
76,740916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Annual Average 2021,01/01/2021,20.55,Good Quality,4.838709677419355
77,175333,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Winter 2010-11,12/01/2010,25.48,Bad Quality,5.999529079350129
78,175371,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2010-11,12/01/2010,27.72,Bad Quality,6.526960207205086
79,336606,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2014-15,12/01/2014,22.69,Good Quality,5.342594772780787
80,549875,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Annual Average 2017,01/01/2017,16.98,Good Quality,3.998116317400518
81,336744,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Winter 2014-15,12/01/2014,29.3,Bad Quality,6.898987520602779
82,741147,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Annual Average 2021,01/01/2021,20.37,Good Quality,4.796326818931011
83,336750,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Winter 2014-15,12/01/2014,26.84,Bad Quality,6.319755121262067
84,550025,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2017,01/01/2017,20.14,Good Quality,4.742170944195903
85,165890,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2010-11,12/01/2010,29.44,Bad Quality,6.931951966093713
86,166657,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2009,06/01/2009,20.38,Good Quality,4.798681422180362
87,167778,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2013,12/01/2012,19.48,Good Quality,4.586767129738639
88,336822,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2014-15,12/01/2014,25.17,Bad Quality,5.926536378620202
89,741225,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2021,01/01/2021,16.42,Good Quality,3.866258535436779
